46 312 75 96 119 15 97 646 11 113 119 15 22 3 4 4 4 4 4 4 3 4 4 4 4 4
266 409 340 529 68 35 45 154 142 21 15 43 22 3 4 4 4 4 4 4 3 4 4 4 4 4
246 144 184 228 103 6 6 10 3 281 3 241 22 3 4 4 4 4 3 4 4 4 4 4 4 4
46 53 74 77 190 203 728 440 990 85 15 65 22 3 4 4 4 3 4 4 4 4 4 4 4 4
345 31 77 35 103 170 652 630 252 75 96 43 22 3 4 4 4 4 3 4 4 4 4 4 4 4
7 22 6 22 282 22 3 108 20 298 11 421 75 3 4 4 4 4 4 4 3 4 4 4 4 4
230 327 238 400 68 35 45 154 142 21 15 43 22 3 4 4 4 4 4 4 3 4 4 4 4 4
46 19 56 31 107 27 53 93 108 109 43 22 3 4 4 3 4 4 4 3 4 4 4 4
134 135 136 77 76 137 138 27 53 109 43 22 3 4 4 4 3 4 4 4 4 3 4 4
199 106 21 103 31 200 38 15 102 103 43 22 3 4 4 4 3 4 4 4 3 4 4 4
74 85 11 5 46 47 43 103 19 75 43 22 3 4 4 4 3 4 4 4 3 4 4 4
203 203 77 8 134 27 35 204 129 27 65 22 3 4 4 3 4 4 4 3 4 4 4 4
20 205 75 39 103 19 56 130 206 160 14 22 3 4 4 4 4 3 4 3 4 4 4 4
46 171 126 221 222 31 45 42 48 49 43 22 3 4 4 3 4 4 4 3 4 4 4 4
310 43 311 46 312 11 103 313 76 113 43 22 3 4 4 3 4 4 4 3 4 4 4 4
108 170 68 52 315 300 119 69 192 96 43 22 3 4 4 4 3 4 4 3 4 4 4 4
230 15 103 332 332 85 52 90 320 42 43 22 3 4 4 3 4 4 4 3 4 4 4 4
344 75 345 68 52 295 346 119 135 49 43 22 3 4 4 4 4 3 4 4 3 4 4 4
213 171 169 207 169 352 21 190 328 353 43 22 3 4 4 4 3 4 4 3 4 4 4 4
67 238 77 169 207 34 87 347 75 96 43 22 3 4 4 4 4 4 3 4 4 4 4 4
46 171 126 103 376 376 85 52 377 58 43 22 3 4 4 4 3 4 4 4 3 4 4 4
388 389 75 68 390 391 75 21 392 393 43 22 3 4 4 4 3 4 4 4 3 4 4 4
23 49 97 32 21 414 81 15 80 355 15 22 3 4 4 3 4 4 4 4 3 4 4 4
56 318 273 169 415 201 78 160 75 96 43 22 3 4 4 3 4 4 4 3 4 4 4 4
37 431 34 161 141 171 21 432 23 343 43 22 3 4 4 3 4 4 4 3 4 4 4 4
126 433 34 221 409 144 84 425 150 109 43 22 3 4 4 3 4 4 4 3 4 4 4 4
91 434 56 24 342 119 410 201 28 127 43 22 3 4 4 3 4 4 3 4 4 4 4 4
46 201 49 14 112 453 11 20 454 75 43 22 3 4 4 4 3 4 4 4 3 4 4 4
109 197 238 400 462 472 203 473 80 40 49 474 3 4 4 4 4 3 4 4 4 4 4 4
112 173 329 75 13 196 329 119 15 375 109 43 3 4 4 4 3 4 4 4 3 4 4 4
156 317 362 93 329 141 261 126 13 77 246 485 3 4 4 4 4 4 3 4 4 4 3 4
99 37 21 43 141 268 75 90 351 42 43 22 3 4 4 3 4 4 4 3 4 4 4 4
271 230 425 34 487 350 56 23 488 351 43 22 3 4 4 4 3 4 4 3 4 4 4 4
31 370 16 21 80 75 5 79 249 20 21 22 3 4 4 4 3 4 4 3 4 4 4 4
11 31 21 120 96 43 103 19 75 15 65 22 3 4 4 3 4 4 4 3 4 4 4 4
46 98 92 277 353 43 126 74 42 40 49 97 3 4 4 3 4 4 4 3 4 4 4 4
520 111 103 230 13 148 65 20 120 75 43 22 3 4 4 3 4 4 3 4 4 4 4 4
87 492 136 77 539 169 84 540 541 226 65 22 3 4 4 4 3 4 4 3 4 4 4 4
374 92 144 103 169 547 169 547 11 446 43 22 3 4 4 4 3 4 4 4 3 4 4 4
